Program,Organization,Description,Status,Environmental_Themes,Services_&_Resources,Title_I_Schools_&_Low_Socioeconomic_Background_Focus,Title_I_School_Participants,Rural_Communities_Focus,Engaging_Rural_Communities,Adaptive_to_Local_Context,Other_Languages,COVID-19_Adaptations,Program_Locations,Program_Times,Groups_Served,Impact_Evaluation,Student_Engagement_Frequency,Teacher/Administrator_Engagement_Frequency,Academic_Standards_Alignment,Academic_Standards,Participant_Tracking,Participants_Served,Students_Served,Schools_Served,Teachers/Administrators_Served,Regions_Served,Timestamp
5th Grade Wetlands,Edinburg Scenic Wetlands and World Birding Center,"The 5th Grade Wetlands Program is a three-hour field trip for 5th grade students in the Edinburg Consolidated Independent School District. The students use hands-on activities, including water testing, macroivertebrate collections, and microorganism observations to appreciate the importance and value of wetlands.","Available in Texas, but not currently active","Conservation (Wildlife/Habitat), Outdoor Learning, STEM, Water","Curriculum & Instructional Materials, Directly Teaching Students, Field Trips, Professional Development for Teachers","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",,Yes,,,Off campus,During School Day,"Elementary School <K-5>, Teachers/Administrators",Do Not Evaluate,Daily,Daily,Yes (please list them below),TEKS,Yes,2500,2400,31,100,Region 1 – Edinburg,44103.57462
A Closer Look at Nature,John Paul Landing Environmental Education Center [HCP3],Takes a closer look at nature-related topics with a lesson followed by an activity.,Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning",Directly Teaching Students,"No, this is not a focus in our outreach or programming.",Do not track,No,,No,,,Environmental Education Center,"During School Day, Weekends","Elementary School <K-5>, Middle School <6-8>, Community/Family","Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Multiple times a month,Not applicable,No (skip the next question),,No (skip the next question),,,,,Region 4 – Houston,44105.64144
A Closer Look at Nature,Kleb Woods Nature Preserve [HCP3],Takes a closer look at different nature-related topics with a lesson followed by an activity.,Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning",Directly Teaching Students,"No, this is not a focus in our outreach or programming.",Do not track,No,,No,,"Registration required to limit the number of participants, and the use of social distancing and face masks",At nature center,During School Day,Elementary School <K-5>,"Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Multiple times a month,Not applicable,No (skip the next question),,No (skip the next question),,,,,Region 4 – Houston,44105.63602
Activity Kits,Keep Austin Beautiful,"Activity Kits are stocked with supplies and an easy-to-follow lesson plan to teach science and outdoor learning concepts. Kits and curriculum are available for checkout at no cost. The activity kits come with an easy-to-follow lesson plan, background information, and all the supplies needed to complete the hands-on activities.",Available and active in Texas,"Conservation (Wildlife/Habitat), Energy, Food Systems/Nutrition, Outdoor Learning, STEM, Waste, Water",Curriculum & Instructional Materials,"This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,No,,Yes,,"Program is currently only active as a curricular resource, but plans for reopening to full physical kit checkouts is in process.","On School Campus, Off campus","During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family","Pre/Post-Program Survey, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Multiple times a month,Multiple times a month,Yes (please list them below),TEKS,Yes,2421,2262,51,159,Region 13 – Austin,44098.49045
After School Club ,River Legacy Living Science Center,"Students have the unique experience of exploring the plants, animals and habitats of a riparian forest in the middle of the DFW metroplex ",Available and active in Texas,"Air Quality, Conservation (Wildlife/Habitat), Outdoor Learning, STEM, Water",Directly Teaching Students,"No, this is not a focus in our outreach or programming.",Do not track,"No, but it is available to rural communities",,Yes,,Currently only offering online due to the pandemic ,"Virtual, Plan to go to in person when we can",After School &/or Evenings,"Elementary School <K-5>, Middle School <6-8>",Post-Program Survey Only,Once a month,Once a month,No (skip the next question),TEKS,No (skip the next question),40,33,,7,Region 11 – Fort Worth,44106.69904
After school Nature Story Time,Friends of Don Greene,Children ages 3-5 and their parents/caretakers are invited to participate in a nature story and discovery time each Wednesday from 4-5pm at the Don Greene Nature Park.,"Available in Texas, but not currently active",Outdoor Learning,Directly Teaching Students,"Yes, this is our core beneficiary and strategic priority.",Do not track,No,,Yes,,Currently suspended due to COVID,On location at Don Greene Nature Park ,After School &/or Evenings,Elementary School <K-5>,Pre/Post-Program Survey,Multiple times a week,Multiple times a week,No (skip the next question),,No (skip the next question),0,0,0,0,Region 4 – Houston,44106.80247
After-School Girls Science Clubs,Baylor University - Center for Reservoir and Aquatic Systems Research,"During the school year, weekly after-school girls science clubs are conducted by Baylor undergraduate female STEM majors at local schools and recreation centers.",Available and active in Texas,STEM,Directly Teaching Students,"Yes, this is our core beneficiary and strategic priority.",76-100%,No,,Yes,,"This fall, our after-school girls science clubs are exclusively on-line.  We will re-evaluate in spring.","On School Campus, Virtual",After School &/or Evenings,"Elementary School <K-5>, Middle School <6-8>",Do Not Evaluate,Once a week,Other [Upon request],Yes (please list them below),TEKS,Yes,40,40,4,0,Region 12 – Waco,44090.41272
Afterschool Program,Dallas Arboretum ,Our program provides a 7 session unit (90 min per session) focused on earth and life science.,Available and active in Texas,"Conservation (Wildlife/Habitat), Energy, Food Systems/Nutrition, STEM, Waste, Water",Directly Teaching Students,"This is not our core focus, but we serve a diverse spectrum of schools &/or students.",26-50%,"No, but it is available to rural communities",,Yes,,Suspended but available,On School Campus,After School &/or Evenings,Elementary School <K-5>,"Pre/Post-Program Survey, Rubrics for Student Projects/Presentations",Once a week,Once a week,Yes (please list them below),TEKS,Yes,1222,,,,"Region 10 – Richardson, Region 11 – Fort Worth",44090.39832
Angler Education,Texas Parks and Wildlife Department (TPWD),"Fishing is a gateway activity to spending more time in the outdoors, gaining appreciation of nature, and to taking the first steps on the road to conservation and stewardship. Drawing heavily on our “train the trainer” model, Angler Education has a robust group of trained volunteers that carry out Angler Education workshops across the state.",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, Other [Angler Education]","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students, Professional Development for Teachers, Supporting Networks (Online/In-Person)","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",,No,,Online offerings,"On School Campus, Off campus, Virtual","During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family",Do Not Evaluate,Varies,Varies,No (skip the next question),,No (skip the next question),50000,49000,500,1000,All Regions,44098.39955
Antonio Garcia Center Gardening Education,Grow Local South Texas,"We transform a fallow garden area into a working vegetable garden and pollinator habitat. Children will be rotated through gardening programming in small groups where they will have hands-on lessons in all-natural gardening, sustainability and healthy eating. ","Available in Texas, but not currently active","Food Systems/Nutrition, Outdoor Learning, STEM","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students","Yes, this is our core beneficiary and strategic priority.",76-100%,No,,Yes,,"We have had to delay the start of our program from September 2020 to January 2021.  This Fall, however, we will be planting a fruit tree orchard and rebuilding the garden beds.  This is a new program so no participants have been served yet.",Off campus,After School &/or Evenings,"Elementary School <K-5>, Middle School <6-8>",Pre/Post-Program Survey,Multiple times a week,Multiple times a week,No (skip the next question),,Yes,0,0,0,0,Region 2 – Corpus Christi,44104.41736
AP Environmental Science Lab,Friends of Don Greene,AP Environmental Science students and their teachers practice curriculum lessons on site at the Don Greene Nature Park.,"Available in Texas, but not currently active","Air Quality, Conservation (Wildlife/Habitat), Energy, Outdoor Learning, Water","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students, Field Trips","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,No,,Yes,,Limited class group sizes may be accommodated.,"Off campus, At Don Greene Nature Park, 6009 Cypress Street, Houston, 77074",During School Day,"High School <9-12>, Teachers/Administrators","Pre/Post-Program Survey, Rubrics for Student Projects/Presentations",Multiple times a month,Multiple times a month,Yes (please list them below),TEKS,Yes,0,0,0,0,Region 4 – Houston,44106.82668
Aqua Adventure ,Lewisville Lake Environmental Learning Area (LLELA),"Students will sort a sample of water, plants, and invertebrates collected at the Beaver Pond. In small teams, they take cupfuls of muck from their assigned bucket and sort the invertebrates in their trays. We analyze what we find, identify bio indicators, and form conclusions about the health of the Beaver Pond. ",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, STEM, Transportation, Water","Directly Teaching Students, Field Trips","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",0-25%,"No, but it is available to rural communities",,Yes,,,Off campus,During School Day,"Elementary School <K-5>, Middle School <6-8>, High School <9-12>",Do Not Evaluate,Once a year,Once a year,Yes (please list them below),TEKS,Yes,342,342,9,0,"Region 10 – Richardson, Region 11 – Fort Worth",44105.59702
