table_name,column_name,display_name,name_description,multiple_terms,term,display_term,term_description
Organizations,Custom_Region,Region,"Headquarters for the organization (see ""Regions Served"" for program service areas).",No,DFW/North TX,DFW/North TX,
Organizations,Custom_Region,Region,"Headquarters for the organization (see ""Regions Served"" for program service areas).",No,Houston,Houston,
Organizations,Custom_Region,Region,"Headquarters for the organization (see ""Regions Served"" for program service areas).",No,El Paso,El Paso/West TX,
Organizations,Custom_Region,Region,"Headquarters for the organization (see ""Regions Served"" for program service areas).",No,San Antonio,San Antonio,
Organizations,Custom_Region,Region,"Headquarters for the organization (see ""Regions Served"" for program service areas).",No,Austin/Central TX,Austin/Central TX,
Organizations,Custom_Region,Region,"Headquarters for the organization (see ""Regions Served"" for program service areas).",No,RGV,Rio Grande Valley,
Organizations,Custom_Region,Region,"Headquarters for the organization (see ""Regions Served"" for program service areas).",No,Coastal Bend & Laredo,Coastal Bend & Laredo,
Organizations,Custom_Region,Region,"Headquarters for the organization (see ""Regions Served"" for program service areas).",No,Great Plains,Great Plains,
Organizations,Custom_Region,Region,"Headquarters for the organization (see ""Regions Served"" for program service areas).",No,Statewide & Other,Statewide & Other,
Organizations,Custom_Region,Region,"Headquarters for the organization (see ""Regions Served"" for program service areas).",No,National,National,
Organizations,Education_Service_Center,ESC Headquarters,Education Service Centerin which the organization is headquartered.,No,1,Region 1 – Edinburg,
Organizations,Education_Service_Center,ESC Headquarters,Education Service Centerin which the organization is headquartered.,No,2,Region 2 – Corpus Christi,
Organizations,Education_Service_Center,ESC Headquarters,Education Service Centerin which the organization is headquartered.,No,3,Region 3 – Victoria,
Organizations,Education_Service_Center,ESC Headquarters,Education Service Centerin which the organization is headquartered.,No,4,Region 4 – Houston,
Organizations,Education_Service_Center,ESC Headquarters,Education Service Centerin which the organization is headquartered.,No,5,Region 5 – Beaumont,
Organizations,Education_Service_Center,ESC Headquarters,Education Service Centerin which the organization is headquartered.,No,6,Region 6 – Huntsville,
Organizations,Education_Service_Center,ESC Headquarters,Education Service Centerin which the organization is headquartered.,No,7,Region 7 – Kilgore,
Organizations,Education_Service_Center,ESC Headquarters,Education Service Centerin which the organization is headquartered.,No,8,Region 8 – Mount Pleasant,
Organizations,Education_Service_Center,ESC Headquarters,Education Service Centerin which the organization is headquartered.,No,9,Region 9 – Wichita Falls,
